job_name,GB_type,element,system,distance,path,structure_file,num_atoms,formula,volume,density,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,energy_eV,energy_per_atom_eV,incar,incar_system,incar_encut,incar_ediff,incar_ediffg,incar_ispin,incar_ismear,incar_sigma,incar_nsw,incar_ibrion,incar_isif,incar_prec,incar_lreal,incar_gga,potcar_symbols,potcar_nelectrons_map,potcar_total_nelectrons,parse_errors
C1-Al-Al-35-d-6.31,C1,Al,Al-35-d-6.31,6.31,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-35-d-6.31,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.0225516,-7.673510607692307,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-35-d-6.31""}",Al-35-d-6.31,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-36-d-6.31,C1,Al,Al-36-d-6.31,6.31,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-36-d-6.31,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.02132492,-7.673487017692308,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-36-d-6.31""}",Al-36-d-6.31,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
CSL13-Al-Al-50-d-0.00,CSL13,Al,Al-50-d-0.00,0.0,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-50-d-0.00,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-770.9636265,-7.709636265,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-50-d-0.00""}",Al-50-d-0.00,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-51-d-0.00,CSL13,Al,Al-51-d-0.00,0.0,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-51-d-0.00,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-770.97869653,-7.7097869653,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-51-d-0.00""}",Al-51-d-0.00,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-48-d-0.01,CSL13,Al,Al-48-d-0.01,0.01,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-48-d-0.01,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.6620716,-7.7166207159999995,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-48-d-0.01""}",Al-48-d-0.01,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-49-d-0.01,CSL13,Al,Al-49-d-0.01,0.01,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-49-d-0.01,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.63086651,-7.716308665100001,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-49-d-0.01""}",Al-49-d-0.01,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-52-d-1.39,CSL13,Al,Al-52-d-1.39,1.39,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-52-d-1.39,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.50996334,-7.7150996334,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-52-d-1.39""}",Al-52-d-1.39,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-53-d-1.39,CSL13,Al,Al-53-d-1.39,1.39,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-53-d-1.39,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.51020396,-7.7151020396000005,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-53-d-1.39""}",Al-53-d-1.39,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-54-d-2.65,CSL13,Al,Al-54-d-2.65,2.65,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-54-d-2.65,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.57988863,-7.7157988863,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-54-d-2.65""}",Al-54-d-2.65,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-55-d-2.65,CSL13,Al,Al-55-d-2.65,2.65,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-55-d-2.65,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.59331545,-7.7159331545,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-55-d-2.65""}",Al-55-d-2.65,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-56-d-2.88,CSL13,Al,Al-56-d-2.88,2.88,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-56-d-2.88,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.45971039,-7.714597103900001,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-56-d-2.88""}",Al-56-d-2.88,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-57-d-2.88,CSL13,Al,Al-57-d-2.88,2.88,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-57-d-2.88,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.56642156,-7.7156642155999995,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-57-d-2.88""}",Al-57-d-2.88,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
CSL13-Al-Al-58-d-4.19,CSL13,Al,Al-58-d-4.19,4.19,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/CSL13/Al/Al-58-d-4.19,CONTCAR,100,Ti99 Al1,1763.444840425979,4.487705572157603,5.111281949851818,7.536060302287528,45.781652,90.23915696021812,90.0,90.000003187922,-771.52621654,-7.7152621653999995,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-58-d-4.19""}",Al-58-d-4.19,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",399.0,
